Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Files\Projects\My_projects_example\ATmega_2560_Pro\Project Outputs for ATmega_2560_Pro\Pick Place\Pick Place for ATmega_2560_Pro(Prototype).csv

========================================================================================================================
File Design Information:

Date:       23-09-26
Time:       17:39
Revision:   Not in VersionControl
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"D1","1N4148W","TopLayer","SOD123_DIO","456.000","859.000","180","DIODE STANDARD 75V 250MA SOD123"
"D2","SS14","TopLayer","DIOM4325X250N","390.000","176.000","270","DIODE SCHOTTKY 40V 1A DO214AC"
"R13","1k","TopLayer","RESC1607X60N_-_1K","1004.063","359.000","180","RES 1K OHM 1% 1/10W 0603"
"X2","16MHZ","TopLayer","XTAL_7M-16.000MAAJ-T","1705.555","379.990","90","CRYSTAL 16.0000MHZ 18PF SMD"
"X1","12MHz","TopLayer","OSCCC250X320X70-4N","1725.000","1691.132","180","CRYSTAL 12.0000MHZ 18PF SMD"
"USB1","Micro-USB-B","TopLayer","AMPHENOL_10118193-0001LF","185.262","1479.921","270","CONN RCPT USB2.0 MICRO B SMD R/A"
"U5","ATMEGA2560-16AU","TopLayer","QFP50P1600X1600X120-100N","1050.000","1050.000","45","IC MCU 8BIT 256KB FLASH 100TQFP"
"U4","SRV05-4","TopLayer","TSOP6_3P1X1P7_ONS","422.000","1042.555","270","TVS DIODE 5VWM 17.5VC 6TSOP"
"U3","AMS1117-3.3","TopLayer","SOT229P700X180-4N-3.3","180.000","612.504","0","IC REG LINEAR 3.3V 1A SOT-223-3L"
"U2","AMS1117-5.0","TopLayer","SOT229P700X180-4N-5.0","180.000","205.000","0","IC REG LINEAR 5.1V 1A SOT-223-3L"
"U1","CH340G","TopLayer","SOP127P780X200-16N","553.583","1855.000","180","USB to Serial UART Interface Controller IC, SOP-16, 5V/3.3V, 12MHz External Crystal Required"
"S1","SW","TopLayer","SW_TS-1187A-B-A-B","149.000","1014.000","90","SWITCH TACTILE SPST-NO 0.05A 12V SMD 3X4MM"
"R14","1k","TopLayer","RESC1607X60N_-_1K","1003.063","288.990","180","RES 1K OHM 1% 1/10W 0603"
"R12","1M","TopLayer","RESC1607X60N_-_1M","1581.545","370.000","270","RES 1M OHM 1% 1/10W 0603"
"R11","10k","TopLayer","RESC1607X60N_-_10K","1726.000","1015.000","0","RES 10K OHM 1% 1/10W 0603"
"R10","10k","TopLayer","RESC1607X60N_-_10K","1727.000","943.000","0","RES 10K OHM 1% 1/10W 0603"
"R9","10k","TopLayer","RESC1607X60N_-_10K","486.063","780.010","0","RES 10K OHM 1% 1/10W 0603"
"R8","1k","TopLayer","RESC1607X60N_-_1K","811.063","481.030","0","RES 1K OHM 1% 1/10W 0603"
"R7","1k","TopLayer","RESC1607X60N_-_1K","811.295","411.020","0","RES 1K OHM 1% 1/10W 0603"
